,,,Прайс на размещение рекламного ролика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Хронометраж (сек),Блок,Кол-во показов в сутки/1 экран (сек),Период/дней,Кол-во показов в ЖК/период,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 10/1",54.780226,55.962536,2022,17,431,1 207,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,17,20751,771,100%,,3279,4000,13115,16000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 2",54.792774,55.844515,2021,25,244,683,2,1,1,1,1,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,35,23862,335,100%,,3279,4000,6557,8000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 4",54.793165,55.845408,2021,26,244,683,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,11870,674,100%,,3279,4000,6557,8000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Дмитрия Купцова, 6",54.793407,55.846544,2021,26,249,697,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,12113,660,100%,,3279,4000,6557,8000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),"улица Гази Загитова, 7",54.789592,55.847040,2022,26,298,834,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,17856,8,6725,595,100%,,3279,4000,3279,4000
U35,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,Зеленый квартал (затон),улица Новоуфимская 15,54.795722,55.878427,2021,20,456,1 277,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,19,24012,666,100%,,3279,4000,13115,16000
U36,Республика Башкортостан,Уфа,Дёмский,Дёмский_мкрн. Цветы Башкирии,А,11.2025,Комфорт,ЖК Семь звёзд,"улица Правды, 18/4",54.703752,55.833203,2023,28,280,784,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,18,14183,564,100%,,3279,4000,6557,8000
U37,Республика Башкортостан,Уфа,Кировский,Зеленая Роща 1,Б,12.2025,Комфорт,ЖК Гурьевский,"улица Караидельская, 54/1",54.714302,55.989944,2020,18,454,1 271,4,0,2,4,4,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,71424,19,24590,651,100%,,3279,4000,13115,16000
U38,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Комфорт,ЖК Черниковские высотки,"улица Орджоникидзе, 19/2",54.806844,56.129703,2019,27,597,1 672,2,2,1,0,3,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,16,26946,297,100%,,3279,4000,6557,8000
U39,Республика Башкортостан,Уфа,Калининский,Инорс_Сипайлово,А,12.2025,Стандарт,ЖК Полесье,"бульвар Баландина, 4",54.781290,56.136315,2012,16,95,266,2,0,1,2,2,Горизонтальный 4*3,Digital (без звука),видеоролик,10,150,576,31,35712,17,4574,1749,100%,,3279,4000,6557,8000
