,,,Прайс на размещение рекламного баннера,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GID,Регион,Город,Район,Название пакета,Категория ЖК,Дата застройки экранов,Класс жилья,Наименование ЖК,Адрес,"Коррдинаты (широта, долгота)",,Год сдачи дома,Этажность,Количество квартир,Количество жильцов,Всего экранов,Число экранов в холле,Всего холлов в доме,Число экранов в лифте,Всего лифтов в доме,Тип экрана,Способ показа,Формат,Период/дней,Частота контакта рекламы c 1 жителем (Frequency),Количество контактов с рекламой (OTS),Стоимость 1000 контактов (CPT) с НДС для Федерального и крупного бизнеса,ФО/скрин с камеры,Фото,Цена за размещение на 1 экране/месяц руб. без НДС,Цена за размещение на 1 экране/месяц руб. в т.ч НДС 22%,"Стоимость размещения в 1 доме/1 месяц, руб. без НДС ","Стоимость размещения в 1 доме/1 месяц, руб. в т.ч.НДС 22%"
U30,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,11.2025,Комфорт,ЖК Планета,"бульвар Давлеткильдеева, 18",54.762298,56.034266,2020,25,393,1 100,3,1,1,2,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,47,51737,464,100%,,6557,8000,19672,24000
U30,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета,"улица Рудольфа Нуреева, 10",54.760672,56.030925,2019,26,364,1 019,1,1,1,0,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,20537,390,100%,,6557,8000,6557,8000
U31,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета 2,"улица Рудольфа Нуреева, 14",54.762984,56.033018,2014,17,445,1 246,8,0,4,8,8,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,50214,1275,100%,,6557,8000,52459,64000
U32,Республика Башкортостан,Уфа,Октябрьский,Проспект,А,05.2026,Комфорт,ЖК Планета 3,"улица Рудольфа Нуреева, 14А",54.762272,56.032784,2015,18,249,697,6,0,3,6,6,Вертикальный 4*3,Digital (без звука),статичный баннер,31,40,28097,1708,100%,,6557,8000,39344,48000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 20",54.781275,55.962769,2021,17,431,1 207,2,2,2,0,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,24317,658,100%,,6557,8000,13115,16000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 24",54.781124,55.964692,2024,17,448,1 254,2,0,2,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,25276,633,100%,,6557,8000,13115,16000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 28",54.781316,55.966560,2025,26,309,865,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,29056,551,100%,,6557,8000,13115,16000
U33,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 1,"улица Природная, 28/1",54.780652,55.965770,2025,26,309,865,2,1,1,1,3,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,34,29056,551,100%,,6557,8000,13115,16000
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 10",54.780273,55.961224,2021,17,441,1 235,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,49762,643,100%,,6557,8000,26230,32000
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 12",54.781358,55.961449,2021,17,441,1 235,2,1,2,1,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,20,24881,643,100%,,6557,8000,13115,16000
U34,Республика Башкортостан,Уфа,Ленинский,Ленинский 1 Затон_мкрн. 8 Марта,Б,11.2025,Стандарт,ЖК 8 Марта 2,"улица Асхата Мирзагитова, 10/1",54.780226,55.962536,2022,17,431,1 207,4,2,2,2,4,Горизонтальный 4*3,Digital (без звука),статичный баннер,31,40,48634,658,100%,,6557,8000,26230,32000
